평균값 주소,원본 데이터 범위
O1807,$O$450:$O$479
O1808,$O$570:$O$599
O1809,$O$690:$O$719
O1810,$O$810:$O$839
O1811,$O$930:$O$959
O1812,$O$1050:$O$1079
O1813,$O$1170:$O$1199
O1814,$O$1290:$O$1319
O1815,$O$1410:$O$1439
O1816,$O$1530:$O$1559
O1817,$O$1650:$O$1679
O1818,$O$1770:$O$1799
P1804,$P$90:$P$119
P1805,$P$210:$P$239
P1806,$P$330:$P$359
P1807,$P$450:$P$479
P1808,$P$570:$P$599
P1809,$P$690:$P$719
P1810,$P$810:$P$839
P1811,$P$930:$P$959
P1812,$P$1050:$P$1079
P1813,$P$1170:$P$1199
P1814,$P$1290:$P$1319
P1815,$P$1410:$P$1439
P1816,$P$1530:$P$1559
P1817,$P$1650:$P$1679
P1818,$P$1770:$P$1799
Q1804,$Q$90:$Q$119
Q1805,$Q$210:$Q$239
Q1806,$Q$330:$Q$359
Q1807,$Q$450:$Q$479
Q1808,$Q$570:$Q$599
Q1809,$Q$690:$Q$719
Q1810,$Q$810:$Q$839
Q1811,$Q$930:$Q$959
Q1812,$Q$1050:$Q$1079
Q1813,$Q$1170:$Q$1199
Q1814,$Q$1290:$Q$1319
Q1815,$Q$1410:$Q$1439
Q1816,$Q$1530:$Q$1559
Q1817,$Q$1650:$Q$1679
Q1818,$Q$1770:$Q$1799
R1804,$R$90:$R$119
R1805,$R$210:$R$239
R1806,$R$330:$R$359
R1807,$R$450:$R$479
R1808,$R$570:$R$599
R1809,$R$690:$R$719
R1810,$R$810:$R$839
R1811,$R$930:$R$959
R1812,$R$1050:$R$1079
R1813,$R$1170:$R$1199
R1814,$R$1290:$R$1319
R1815,$R$1410:$R$1439
R1816,$R$1530:$R$1559
R1817,$R$1650:$R$1679
R1818,$R$1770:$R$1799
S1804,$S$90:$S$119
S1805,$S$210:$S$239
S1806,$S$330:$S$359
S1807,$S$450:$S$479
S1808,$S$570:$S$599
S1809,$S$690:$S$719
S1810,$S$810:$S$839
S1811,$S$930:$S$959
S1812,$S$1050:$S$1079
S1813,$S$1170:$S$1199
S1814,$S$1290:$S$1319
S1815,$S$1410:$S$1439
S1816,$S$1530:$S$1559
S1817,$S$1650:$S$1679
S1818,$S$1770:$S$1799
T1804,$T$90:$T$119
T1805,$T$210:$T$239
T1806,$T$330:$T$359
T1807,$T$450:$T$479
T1808,$T$570:$T$599
T1809,$T$690:$T$719
T1810,$T$810:$T$839
T1811,$T$930:$T$959
T1812,$T$1050:$T$1079
T1813,$T$1170:$T$1199
T1814,$T$1290:$T$1319
T1815,$T$1410:$T$1439
T1816,$T$1530:$T$1559
T1817,$T$1650:$T$1679
T1818,$T$1770:$T$1799
U1804,$U$90:$U$119
U1805,$U$210:$U$239
U1806,$U$330:$U$359
U1807,$U$450:$U$479
U1808,$U$570:$U$599
U1809,$U$690:$U$719
U1810,$U$810:$U$839
U1811,$U$930:$U$959
U1812,$U$1050:$U$1079
U1813,$U$1170:$U$1199
U1814,$U$1290:$U$1319
U1815,$U$1410:$U$1439
U1816,$U$1530:$U$1559
U1817,$U$1650:$U$1679
U1818,$U$1770:$U$1799
V1804,$V$90:$V$119
V1805,$V$210:$V$239
V1806,$V$330:$V$359
V1807,$V$450:$V$479
V1808,$V$570:$V$599
V1809,$V$690:$V$719
V1810,$V$810:$V$839
V1811,$V$930:$V$959
V1812,$V$1050:$V$1079
V1813,$V$1170:$V$1199
V1814,$V$1290:$V$1319
V1815,$V$1410:$V$1439
V1816,$V$1530:$V$1559
V1817,$V$1650:$V$1679
V1818,$V$1770:$V$1799
W1804,$W$90:$W$119
W1805,$W$210:$W$239
W1806,$W$330:$W$359
W1807,$W$450:$W$479
W1808,$W$570:$W$599
W1809,$W$690:$W$719
W1810,$W$810:$W$839
W1811,$W$930:$W$959
W1812,$W$1050:$W$1079
W1813,$W$1170:$W$1199
W1814,$W$1290:$W$1319
W1815,$W$1410:$W$1439
W1816,$W$1530:$W$1559
W1817,$W$1650:$W$1679
W1818,$W$1770:$W$1799
X1804,$X$90:$X$119
X1805,$X$210:$X$239
X1806,$X$330:$X$359
X1807,$X$450:$X$479
X1808,$X$570:$X$599
X1809,$X$690:$X$719
X1810,$X$810:$X$839
